,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Electricity production (TWh),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World Energy & Climate Statistics – Yearbook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,www.enerdata.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Back to list of tables,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2022 - 2023 (%) ,2000 - 2023 (%/year) ,,,
,South Korea,105,115,126,145,164,184,205,225,218,238,290,311,332,345,368,389,404,427,446,455,500,523,535,542,551,553,563,567,590,581,579,612,626,618,-1.3,3.3,,,
,Singapore,16,17,18,19,21,22,23,26,29,30,32,33,35,35,37,38,39,41,42,42,45,46,47,48,49,50,52,52,53,55,54,57,58,59,0.5,2.7,,,
,Taiwan,89,98,104,113,123,131,140,148,161,170,186,189,199,210,219,228,236,244,239,231,247,252,250,252,260,258,264,270,276,274,280,291,288,282,-2.1,1.8,,,
,Thailand,44,50,57,63,71,80,90,93,90,90,96,102,109,117,126,132,139,143,147,148,160,156,165,170,172,177,188,182,182,191,189,187,192,203,5.8,3.3,,,
,Vietnam,9,9,10,11,12,15,17,19,22,24,27,31,36,41,46,54,60,67,73,83,95,104,118,127,140,163,182,198,213,233,241,253,275,282,2.3,10.8,,,
,Pacific,190,192,195,200,205,212,217,223,236,245,253,268,272,266,276,276,281,292,292,296,302,303,301,298,297,302,306,308,312,315,315,316,323,324,0.5,1.1,,,
,Australia,155,157,160,164,167,173,178,183,195,204,210,225,228,221,228,229,233,243,243,248,253,254,251,249,247,251,257,258,261,264,265,266,272,273,0.6,1.1,,,
,New Zealand,33,34,33,35,35,36,37,37,38,38,39,40,41,41,43,43,44,44,44,44,45,45,45,44,44,45,44,45,45,45,45,45,45,45,-0.1,0.5,,,
,Africa,312,325,327,340,352,365,383,399,404,416,435,453,482,513,545,565,591,617,627,632,677,698,725,743,767,787,809,829,853,863,852,905,922,919,-0.3,3.3,,,
,Algeria,16,17,18,19,20,20,21,21,24,25,25,27,28,30,31,33,35,37,40,39,46,51,57,60,64,69,71,76,77,82,79,85,91,96,5.4,6.0,,,
,Egypt,39,45,45,49,50,53,55,57,60,65,70,77,86,98,104,112,118,128,135,143,150,161,165,168,174,180,192,195,203,194,197,223,232,236,1.3,5.4,,,
,Nigeria,13,14,15,15,16,16,16,16,15,16,15,15,22,20,24,24,23,23,21,20,26,27,29,29,32,33,37,32,33,33,35,36,34,35,2.6,3.8,,,
,South Africa,165,168,168,175,182,188,200,210,205,203,211,210,218,234,245,245,254,263,258,249,260,263,258,256,253,250,255,258,256,253,240,244,235,224,-4.4,0.3,,,
